member_casual,month,number_of_rentals,avg_length,max_rental_length
casual,1,40008,23.0,33604
member,1,150293,10.0,1500
casual,2,43016,23.0,18865
member,2,147429,11.0,1500
casual,3,62201,21.0,16808
member,3,196477,10.0,1560
casual,4,147285,28.0,18395
member,4,279305,12.0,1500
casual,5,234181,29.0,29210
member,5,370646,13.0,1501
casual,6,369051,32.0,35821
member,6,400153,14.0,1500
casual,7,406055,29.0,34209
member,7,417433,14.0,1500
casual,8,358924,29.0,28129
member,8,427008,13.0,1500
casual,9,296697,28.0,27698
member,9,404642,13.0,1500
casual,10,208989,26.0,41387
member,10,349696,12.0,1500
casual,11,100772,21.0,19613
member,11,236963,11.0,1500
casual,12,44894,22.0,19157
member,12,136912,11.0,1500
